Protein_FDR_Confidence_Combined	Master	Accession	Description	Coverage[%]	No.Peptides	No.PSMs	No.Unique_Peptides	MW[kDa]	Gene_Symbol	Abundance_1_0	Abundance_1_1	Abundance_1_2	Abundance_1_3	Abundance_1_4	Abundance_1_5	Abundance_1_6	Abundance_1_7	Abundance_1_8	Abundance_1_9	Abundance_1_10	Abundance_1_11	Abundance_1_12	Abundance_1_13	Abundance_1_14	Abundance_1_15	Abundance_2_0	Abundance_2_1	Abundance_2_2	Abundance_2_3	Abundance_2_4	Abundance_2_5	Abundance_2_6	Abundance_2_7	Abundance_2_8	Abundance_2_9	Abundance_2_10	Abundance_2_11	Abundance_2_12	Abundance_2_13	Abundance_2_14	Abundance_2_15	Abundance_3_0	Abundance_3_1	Abundance_3_2	Abundance_3_3	Abundance_3_4	Abundance_3_5	Abundance_3_6	Abundance_3_7	Abundance_3_8	Abundance_3_9	Abundance_3_10	Abundance_3_11	Abundance_3_12	Abundance_3_13	Abundance_3_14	Abundance_3_15	Abundance_4_0	Abundance_4_1	Abundance_4_2	Abundance_4_3	Abundance_4_4	Abundance_4_5	Abundance_4_6	Abundance_4_7	Abundance_4_8	Abundance_4_9	Abundance_4_10	Abundance_4_11	Abundance_4_12	Abundance_4_13	Abundance_4_14	Abundance_4_15	Abundance_5_0	Abundance_5_1	Abundance_5_2	Abundance_5_3	Abundance_5_4	Abundance_5_5	Abundance_5_6	Abundance_5_7	Abundance_5_8	Abundance_5_9	Abundance_5_10	Abundance_5_11	Abundance_5_12	Abundance_5_13	Abundance_5_14	Abundance_5_15
High	Master Protein	P02671	Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2	35	30	300	30	94.9	FGA	2861	1104	709.9	694.9	6585.9	366.2	3319.6	600.9	1773.9	1028.4	764	1122.8	123.7	1412.8	628.2	3617.3	3553.6	432.8	3751.9	31.4	4878.4	1554	3090.3	2372.3	1751.2	13348	3735	3462.8	8405.7	1307	5654.5	4631.8	6265.6	7950.2	3450.6	3063.2	936.6	1406.4	9475	443.8	1780.3	2242.6	3347.9	720.5	10190.3	1605.4	2909.8	1735.6	1774.7	2832.2	1639.5	884.8	870.1	716.2	9148.2	1143.7	1531.6	982	382.4	182.8	6082.1	366.3	701.9	789.6	3402.5	230.6	1751.2	1216.8	9239.5	1713.2	2013.3	3270.6	737.1	4617.3	1751.1	4619.5	1470	919.6	3794.9	10146.3
High	Master Protein	P02751	Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5	35	61	283	61	272.2	FN1	1217.3	1011.6	1987.6	1575.2	1820.4	1426.1	2375.2	1257.1	928	1478.8	1189.1	967.5	144.7	1706.7	562.5	4132.4	781.1	187.5	413.9	60	1390	1426.6	913.7	833	1477.2	1075.9	1016.7	1216.3	2459.1	426.3	5880.2	684.8	1689.4	2980.7	5034.1	1524.6	1346.5	584.1	922.8	147.8	787	1743.7	3323.4	450.5	1556.4	1048.3	619.4	1782.5	2155	2692.6	1809.3	2685.3	2473.1	1340.6	5425.5	2344.9	2273.7	910.4	988.8	730.5	5435.8	1144.8	1417.7	1086.2	2067.2	1023.2	1163.2	2108.1	1165.6	1171.5	1052.5	2849.8	750.1	2171.3	2469.6	1540.9	1373	1259	4330	2790
High	Master Protein	P35555	Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4	28	62	273	62	312.1	FBN1	819.2	889.5	1018.4	579.8	1569.3	425.5	1283.1	136.2	1208.1	967.7	176.2	1183	117.9	2135.9	366	1277.3	819.8	389.7	720.8	43.2	776.7	1401.1	1232.2	735.1	1606.9	1627.5	845.8	1623.3	2659.1	815.5	3545.5	463.4	1570.8	3271.7	2079.1	3233.2	481.5	1023.6	634.5	273.8	212	3481.1	1024	290.1	573.8	272.9	141.4	317.7	1733.7	2431.6	2146.5	2400.8	766.7	1175.8	902.8	1620	2092.3	367.6	1642.2	744.3	781.1	372.8	1340.1	1773.5	2001.9	252.8	2371.3	2942.1	462.8	1358.9	2230.2	1362.3	1367.8	2096.4	4591.4	2987.6	814.5	1527.4	2015.6	1640.1
High	Master Protein	P02675	Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2	58	25	256	25	55.9	FGB	1533.6	1257	673.3	599.3	4988.6	462.7	2461.6	472.7	2564.6	633.5	509.1	616.4	125.2	821.9	636.6	3876.5	2089.5	352.9	3581.9	16.7	5400.4	1313	2809.9	2179.1	1758.5	14663.2	2932.5	3382.9	6190.5	1059.5	3688.2	3572.1	2468	3898.1	1653.8	1337.7	442.3	475.7	3144.3	317.1	2199.4	674.1	1278.7	386.7	2924.4	1164.9	1785.2	1292.1	1651	1887.7	1642.4	647.8	798.8	427.8	10619.1	789.5	1089.2	487.6	273.2	320.4	2441.3	415.5	393.5	394.4	1962.8	173.1	906.8	637.9	4176.3	432.8	585.4	1405.5	352.7	1808.7	717.6	1434.1	469.7	464.4	1127.7	7078.7
High	Master Protein	P02788	Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6	70	41	246	41	78.1	LTF	1437.8	95.7	199.9	109.4	1527.6	117.1	426.6	34.6	7284.4	174.8	255.1	169.4	62.7	150.5	123.8	140.1	1239.9	342	315.9	34.9	227.3	868.2	223.6	5375.2	253	2644.4	258.1	1389.5	326	166.5	248.1	233.9	4085.4	5510.5	2454	909.9	423.2	845.7	1583.9	4777.8	22182.4	1589.7	1529	483.4	5075.5	596.1	724.9	840.3	2583.3	9600.3	939	943.7	406.5	5845.5	3994.4	488.1	299.8	111.7	97.8	104.8	973.5	129.4	963.1	330.4	2440.2	194.8	425.8	458.5	511.2	821.7	2271.5	4085.8	329.1	13050.6	471.3	1075.7	1630.4	827.8	408	12307.4
High	Master Protein	P51884	Lumican OS=Homo sapiens OX=9606 GN=LUM PE=1 SV=2	42	14	243	14	38.4	LUM	1665.2	3828.4	2219.8	1556.3	2137.9	886.8	3117.5	166	709.2	780.3	143	1728.6	97.9	4849.6	316.6	1894.8	3539.5	790.8	1167.3	190.5	2060.3	3259.3	2774.7	1678.2	6583	2071.3	1674.6	2076	6715	2290.5	15692	1114.2	6061	8599.3	8490.7	8462.2	2062.3	4717.8	3290.6	1123.8	1472.8	14528	8172.9	2566	3775.9	2325.2	882.2	1269.6	2347.5	2316.9	1505.6	7679.5	924.8	1737.9	2098.8	3220.1	2079.6	534.4	2012.7	1629.3	1728.2	990.9	2300.1	3109.6	5044.4	862.9	3522	4036.6	1251.4	3688	3712.2	2773.7	1393.1	2994.9	14680.1	5290.3	1253	3400.4	4576.5	1639.9
High	Master Protein	P62805	Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2	56	10	243	10	11.4	H4-16; H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9	723.1	1630	568.8	627.1	2247.8	382.8	1120.9	53.8	3615.3	823.6	184.1	1213.6	109	1917.9	294.2	703.9	895.5	380.6	545.4	31.8	550.4	2137.6	568.9	1354	1473.9	1587.8	507.4	2103	1725.5	793.6	968.2	437.6	2703.4	6607.5	5708.8	5188	1094.3	2800.7	1012.9	3325.6	3043.9	19009.5	1369.1	2155.5	5666.1	745.2	460.5	1747.2	1403.9	5236.3	947.3	3759.8	1187.5	2505.8	2461.7	3083.3	1487.2	439.4	334.6	205	1236.5	325.7	1439.7	1677.8	3222.4	555.4	2535.7	5519.8	2046	5234.6	13335.8	6723.8	2085.1	12936.5	3513.1	3011.1	3287.6	2773.7	2680.4	4544.4
High	Master Protein	P01024	Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2	56	73	241	73	187	C3	740.3	393.6	526.9	349.5	4305.8	257.6	1264.7	404.5	2199.3	495.3	269.6	1027.9	90.6	756.8	514.9	864	1354.9	355.5	572.3	3.1	3873.9	1467	836.9	944.2	673.5	1242.7	1239.1	2352.8	2115.1	692.6	1146.7	2000.7	1886.7	3659.5	1422.5	1586.7	638.3	1259.5	1450	368	1781.6	1584.5	1631.7	623.8	2885.2	1476.4	2020.8	1088.7	2276.9	7457.2	5470.8	3332	2036.5	2863.8	4197	2814	2685.1	1417.8	465.6	901.6	2906	3232	1655	2386.7	2624.4	4512.3	2514	2755.3	1038.4	2407	1876.2	2951.7	1887.2	5001.9	2378.8	2158.8	1704.3	983.9	6931.5	5082.3
High	Master Protein	P00738	Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1	47	23	236	10	45.2	HP	1171.4	286.8	342.8	118.1	7220.6	163.8	1146.6	365.9	1191.1	157	119.3	680.7	65.9	633.2	163.4	307.3	2863.3	706.6	531.6	8	9290.2	1894.2	735.6	975.9	559.4	1183.7	642.2	6200	2017.3	853.5	2496.9	1163.6	8570.3	15576.3	2990.2	3003.8	1593.9	3681.2	1966.5	1752.1	5125.1	4537	3928.2	1093.8	12698	2662.9	691.2	803.4	2086.5	7204	2677.2	2151.5	833.3	1079.3	2577.9	2922.9	759.9	523.5	141.8	349.7	611.1	1407.3	750.4	1371.2	2428.5	2090.3	2476.3	842.3	341.2	829.5	768	2358.6	588	5453.6	2293.4	891.7	1033.1	789.1	6147.9	5117.2
High	Master Protein	Q99715	Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2	34	75	225	75	332.9	COL12A1	519.2	1096.9	2132.8	1298.3	679.9	487.5	1086.8	255.2	405.6	665.9	245.1	694.7	57.1	1294.7	151.9	2259.9	366.2	80.5	138.8	9.2	409.1	803.1	299.7	212.2	1581.3	228.2	547.1	210	483.7	100.9	194.4	122.8	1993.6	2191.2	3893.4	2314.2	1137.2	4001.7	1038.5	462.2	675.3	4288.3	2792.9	1999.5	3898.7	787.7	1225.6	1080	1124.2	932.6	856	5072	5316.6	993.4	1752.7	2183.2	515.5	896.7	714.9	745.8	5903.1	1355.2	966.4	637.5	2122	2191.1	1329.4	2263.3	2169	1337.7	938.3	1034.2	408	1132.1	2368.3	492.7	2422.4	2706.8	1153.5	1195.7
High	Master Protein	P08123	Collagen alpha-2(I) chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=7	23	29	209	29	129.2	COL1A2	1391.4	787.3	3613.1	2203.6	1441	2502.1	4723.8	1844.5	1177.6	1755	1629.5	689.1	198.8	1369.5	333.9	1625.2	3148.8	1460.3	377.2	107	4873.8	2591.9	498.6	7133.3	1349.8	5692.4	692.4	844.9	2367.8	925.1	376.3	679.9	1071.8	235.6	523.4	2198.7	164	1575.7	254.7	154.2	335.6	1103.3	281.4	908.3	1965.8	1462.2	889.5	629.1	1248.8	469.7	1395.6	1837.2	912.5	2763.7	570.1	1736.5	1026.1	2221.1	2221.6	2155.5	2940.2	2101	3472.6	2241.2	2514.8	2909.1	1202.8	1069.1	1345.3	5682.9	1356.6	1552.1	465.1	661.2	718.6	466.6	2860.5	715.9	1179.1	901.8
High	Master Protein	P12110	Collagen alpha-2(VI) chain OS=Homo sapiens OX=9606 GN=COL6A2 PE=1 SV=4	24	22	207	22	108.5	COL6A2	1735.8	5624.3	4681.3	3922.5	3007.3	5323.5	5177.6	440.6	1699	1345.9	289.9	1926.1	211.5	4445.8	354	5457.5	2009.6	497.2	734.1	168.8	2487.7	2845.4	1757.3	1222.5	7223.6	2144.5	2310	1150.5	10274.3	1466.7	16226	456.9	1519.2	2380.3	4975.2	2977.9	1284.6	710.1	1988.1	292.1	315.9	2191.6	3507.5	1056.9	700	1181.6	217.2	594.4	1941.9	1832.2	1829.4	4088.1	1005.2	1348.5	3085.2	1934	3199.1	319.2	2151.1	3110	1218.1	1460.2	1325.7	1524.6	2794.4	264.4	2080.4	3988.1	1037.7	1650.4	1741.6	1203.5	559.6	2455.7	5521.9	3079.7	1002.9	2823.2	1787.7	2169.4
High	Master Protein	P01857	Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1	58	17	203	8	36.1	IGHG1	3690.4	3420.6	3269.1	1538.4	14605.8	347.2	3560.7	775.9	7823.5	1540.5	488.3	2205.6	190.1	2161.2	1349.3	2303.7	2941.2	709.5	859.6	124.2	4555.2	5058.7	1849.3	1025.8	2249.8	1458.4	1370.5	3437	9426.9	1573.8	4003.8	3729	3201.6	4780.1	3212.6	1948.7	882.6	5613.6	1294	857.7	3594.8	4031.1	2917	835.1	3387.8	1360.7	717	1167.8	1849.3	6860.1	4034.9	3468.2	8139	1336.6	3256.8	3222.1	1653.9	614.1	322.3	565.1	2471.7	4396.2	1053.9	1617.2	1935.6	1744.2	1859.6	2266.9	855.3	1344.4	1102.9	1465.8	853.8	3482.9	3671.5	2179.3	1528	935	8799.4	6340.9
High	Master Protein	P51888	Prolargin OS=Homo sapiens OX=9606 GN=PRELP PE=1 SV=1	45	14	203	14	43.8	PRELP	746.1	919.5	1866.9	438.5	1885.3	597.5	1430	123.2	408.3	355.5	112.6	2367.1	24.3	2180	87.1	1653.1	572.2	135.4	168.7	60.2	946.1	349.5	349.1	859.3	686.1	739.5	494	1069.8	1616.3	336.1	7455.5	201.3	1269.6	4252.7	1056.2	2938.2	1369.1	379.7	746.3	131.1	324.1	611.7	3688.3	437.2	587.6	482.5	238	322.6	1674.6	3325.1	1097.4	3079.8	360.2	1791.2	817.8	2319.2	2614.1	284.6	2447.2	2296.7	820.7	726.4	3363.6	2483.6	1204.5	149.5	1032.5	851	380.6	1557.6	872.1	1953.4	553.9	1381.1	9385.7	989.7	591.5	1678.4	4838.8	706.9
High	Master Protein	P02787	Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3	60	40	201	40	77	TF	1033.2	428.2	428.1	338.7	6200.8	153.6	2696.4	534	2048.4	421.5	216.3	886.6	68.5	964.5	240.9	696.4	2292.3	847.2	725.7	88.3	4417.1	2389.9	1045.6	1164.1	1760	762.6	975.5	3107	2510.3	873.8	3227.3	1748.6	1205.4	2091.6	1101.8	932.2	360.8	2117.7	588.9	303.1	1504.1	1791.4	662.9	400	996.9	588.6	357.8	545.3	1532.7	2768.2	1683.1	2508.4	1148.9	953.2	2154.1	2209.3	1526	640.4	222.6	421	960.6	1052	1067.4	1654.7	1779.5	2115.8	2811	1708.1	537	1203.9	1033.7	1498.3	1319.1	1458.2	1863.4	1385.5	881.8	380.7	2039.6	1759
High	Master Protein	P12109	Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=3	37	30	194	30	108.5	COL6A1	601.6	1704.1	1529.9	1253.2	1098.9	2060.5	1669.7	165.8	518.2	382.5	96.9	590.2	47.2	1287.5	111.3	1747.8	531.1	136.4	225.8	46.8	659.4	758.3	545.2	363.7	1910.6	598	727.1	353	2785.5	447.5	4208	160	1412.2	2571.6	3951.2	2831.9	1168.2	832.5	2003.7	215.8	347.8	2131.3	2983.8	1922.8	1020	1240.2	243.7	611.4	1714.6	1770.5	1310.1	4085.6	1068.8	1539.4	2999.2	2088.8	2458.3	312.8	1783	2773.4	1402.5	1242.5	1997.8	2308.6	1638.1	217.2	1426.2	3153.5	813.1	1263.4	1056.8	685.6	351.6	1383.5	4501.1	2148.7	722.4	2328.4	1418.3	1305.2
High	Master Protein	P21810	Biglycan OS=Homo sapiens OX=9606 GN=BGN PE=1 SV=2	46	14	190	13	41.6	BGN	687.3	1726.2	1611.2	641.2	1312.3	422.5	1212.8	162.5	395.8	622.4	130.8	1418.7	73.7	1978	289.2	1928.5	1283.9	551.2	501.8	133	1362	1412.3	837.2	1337.1	2670	1453.6	1238.2	3304.5	2590.4	754.2	11175.3	961.8	2037.5	4675.6	3563.6	5059.8	2626.5	2778.8	857.4	371	766.8	4607.1	3975	1922.5	2888.6	864.7	733.5	871.7	1328.3	1908.5	824.2	4995.8	639.8	1193.4	688.9	1665.9	1974.1	721.8	1305.2	1847.4	1456.9	958.2	1322.7	1137.5	1895.5	1188.3	2302.5	2732.6	687.8	1338.5	936.6	2514.8	955.5	1406.7	7673.5	1201.5	1069.5	2347.6	4964.7	1204.6
High	Master Protein	P21333	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	36	67	188	62	280.6	FLNA	383.9	843.8	844.5	741.9	908.4	463.2	1142.8	108.5	534.5	1009	151.6	369.3	70.6	649.7	401.6	1155.4	815.9	196.2	814.6	30.1	1143.2	1984.1	1359.2	901.2	4925.9	968	1280.9	940.1	6807.2	665.8	1076.3	868.1	1269.1	4575.7	5319	1884.7	1210.5	1378.9	1278.7	347.7	588.7	2003.8	1256.3	860	1980.5	571.1	455.4	1519.1	2118.4	2805.5	2343.6	2200.9	3049.5	1829.2	10445.8	1743	1902.3	1099.6	906.5	611.5	3049.4	1308.3	2053	2857.4	1394.2	417.4	944	2412.3	1398.6	960	1176.5	969.4	523.6	1577.8	1023.9	2645.2	953.6	383.8	708	1338.1
